,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
1160,حظر,3,2,2,0.6666666666666666,3,1,1,2,['حظر'],0.3333333333333333
1161,كلو,4,3,3,0.75,4,1,1,2,['كلو'],0.25
1162,افف,6,5,5,0.8333333333333334,6,1,1,2,['افف'],0.16666666666666666
1163,بذر,3,3,3,1.0,3,1,1,2,['بذر'],0.5
1164,زني,10,15,12,1.5,8,1,1,2,['زني'],0.16666666666666666
1165,قسطس,3,4,2,1.3333333333333333,3,1,1,2,['قسطس'],0.6666666666666666
1166,مرح,5,5,4,1.0,5,1,1,2,['مرح'],0.25
1167,ستر,5,4,4,0.8,5,1,1,2,['ستر'],0.2
1168,رفت,3,4,2,1.3333333333333333,3,1,1,2,['رفت'],0.6666666666666666
1169,نغض,3,2,2,0.6666666666666666,3,1,1,2,['نغض'],0.3333333333333333
1170,حنك,3,2,2,0.6666666666666666,3,1,1,2,['حنك'],0.3333333333333333
1171,وفر,2,1,1,0.5,2,1,1,1,"['جزي', 'وفر']",0.5
1172,فزز,5,5,4,1.0,5,1,1,2,['فزز'],0.25
1173,صوت,12,15,14,1.25,10,1,1,2,['صوت'],0.11363636363636363
1174,جلب,4,4,4,1.0,3,1,1,2,['جلب'],0.3333333333333333
1175,حصب,8,10,7,1.25,8,1,1,2,['حصب'],0.17857142857142858
1176,تور,4,4,3,1.0,4,1,1,2,['تور'],0.3333333333333333
1177,قصف,3,2,2,0.6666666666666666,3,1,1,2,['قصف'],0.3333333333333333
1178,دلك,3,2,2,0.6666666666666666,3,1,1,2,['دلك'],0.3333333333333333
1179,غسق,6,6,5,1.0,6,1,1,2,['غسق'],0.2
1180,هجد,3,2,2,0.6666666666666666,3,1,1,2,['هجد'],0.3333333333333333
1181,شكل,5,4,4,0.8,5,1,1,2,['شكل'],0.2
1182,نبع,3,3,3,1.0,2,1,1,2,['نبع'],0.5
1183,كسف,7,10,7,1.4285714285714286,6,1,1,2,['كسف'],0.23809523809523808
1184,رقي,8,7,7,0.875,8,1,1,2,['رقي'],0.125
1185,خبو,3,2,2,0.6666666666666666,3,1,1,2,['خبو'],0.3333333333333333
1186,تسع,10,11,10,1.1,10,1,1,2,['تسع'],0.12222222222222222
1187,ثبر,6,7,5,1.1666666666666667,6,1,1,2,['ثبر'],0.23333333333333334
1188,لفف,4,3,3,0.75,4,1,1,2,['لفف'],0.25
1189,ذقن,6,6,5,1.0,6,1,1,2,['ذقن'],0.2
1190,خفت,5,4,4,0.8,5,1,1,2,['خفت'],0.2
1191,بخع,2,2,1,1.0,2,1,1,1,"['بخع', 'نفس']",1.0
1192,جرز,4,3,3,0.75,4,1,1,2,['جرز'],0.25
1193,كهف,13,12,12,0.9230769230769231,13,1,1,2,['كهف'],0.07692307692307693
1194,رقم,4,4,3,1.0,4,1,1,2,['رقم'],0.3333333333333333
1195,شطط,5,4,4,0.8,5,1,1,2,['شطط'],0.2
1196,زور,9,9,8,1.0,9,1,1,2,['زور'],0.125
1197,فجو,3,2,2,0.6666666666666666,3,1,1,2,['فجو'],0.3333333333333333
1198,يقظ,3,2,2,0.6666666666666666,3,1,1,2,['يقظ'],0.3333333333333333
1199,رقد,5,4,4,0.8,5,1,1,2,['رقد'],0.2
1200,وصد,5,4,4,0.8,5,1,1,2,['وصد'],0.2
1201,فرر,14,15,15,1.0714285714285714,13,1,1,2,['فرر'],0.08241758241758242
1202,سردق,3,2,2,0.6666666666666666,3,1,1,2,['سردق'],0.3333333333333333
1203,مهل,9,9,9,1.0,8,1,1,2,['مهل'],0.125
1204,شوي,4,3,3,0.75,4,1,1,2,['شوي'],0.25
1205,ارك,6,8,6,1.3333333333333333,5,1,1,2,['ارك'],0.26666666666666666
1206,حفف,5,4,4,0.8,5,1,1,2,['حفف'],0.2
1207,بيد,3,2,2,0.6666666666666666,3,1,1,2,['بيد'],0.3333333333333333
1208,زلق,4,3,3,0.75,4,1,1,2,['زلق'],0.25
1209,هشم,5,4,4,0.8,5,1,1,2,['هشم'],0.2
1210,ذرو,4,4,4,1.0,4,1,1,2,['ذرو'],0.3333333333333333
1211,غدر,5,4,4,0.8,5,1,1,2,['غدر'],0.2
1212,صفف,18,20,18,1.1111111111111112,18,1,1,2,['صفف'],0.06535947712418301
1213,شفق,14,15,14,1.0714285714285714,13,1,1,2,['شفق'],0.08241758241758242
1214,عضد,4,3,3,0.75,4,1,1,2,['عضد'],0.25
1215,وبق,3,2,2,0.6666666666666666,3,1,1,2,['وبق'],0.3333333333333333
1216,دحض,6,7,5,1.1666666666666667,6,1,1,2,['دحض'],0.23333333333333334
1217,وال,2,1,1,0.5,2,1,1,1,"['دون', 'وال']",0.5
1218,حقب,3,2,2,0.6666666666666666,3,1,1,2,['حقب'],0.3333333333333333
1219,صخر,7,6,6,0.8571428571428571,7,1,1,2,['صخر'],0.14285714285714285
1220,سفن,8,7,7,0.875,8,1,1,2,['سفن'],0.125
1221,قضض,3,2,2,0.6666666666666666,3,1,1,2,['قضض'],0.3333333333333333
1222,عيب,3,2,2,0.6666666666666666,3,1,1,2,['عيب'],0.3333333333333333
1223,غصب,2,1,1,0.5,2,1,1,1,"['سفن', 'غصب']",0.5
1224,ردم,2,1,1,0.5,2,1,1,1,"['بين', 'ردم']",0.5
